Review,Label
Saya merasa terdorong untuk berpartisipasi aktif dalam pembelajaran.,1
Guru ini selalu memberikan kesempatan kepada siswa untuk berbicara.,1
Guru ini ramah dan mudah diajak berdiskusi.,1
Sering kali tidak menjelaskan tujuan dari pelajaran,0
Kurang memberikan dukungan kepada siswa yang mengalami kesulitan belajar,0
Materi yang diajarkan terlalu banyak dalam satu pertemuan,0
Tidak memberikan kesempatan kepada siswa untuk bertanya,0
Kurang memberikan dukungan emosional kepada siswa yang mengalami kegagalan,0
Guru ini membuat suasana kelas menjadi lebih hidup.,1
Tidak memberikan kesempatan kepada siswa untuk eksplorasi kreativitas,0
Materi yang diajarkan tidak sesuai dengan kurikulum,0
Saya merasa guru ini memberikan nilai lebih dalam proses pembelajaran.,1
Tidak memberikan umpan balik yang mendalam,0
Tidak memberikan solusi terhadap kesulitan belajar siswa,0
Materi pelajaran disajikan dengan cara yang mudah dipahami.,1
Guru ini selalu memberikan umpan balik yang konstruktif.,1
Saya merasa semangat belajar setiap kali masuk kelas guru ini.,1
Materi yang diajarkan tidak diperbarui,0
Guru ini memberikan pandangan yang berbeda terhadap materi pelajaran.,1
Kurang kreatif dalam metode pengajaran,0
Guru ini membuat pembelajaran menjadi lebih menyenangkan.,1
Tidak memberikan kesempatan kepada siswa untuk mengeksplorasi minat mereka,0
Guru ini selalu memberikan umpan balik yang membantu dalam peningkatan diri.,1
Saya merasa terbantu dengan adanya bimbingan dari guru ini.,1
Tidak memberikan bantuan dalam memahami feedback ujian,0
Pertemuan online seringkali terganggu oleh suara latar belakang,0
Guru ini selalu menghadirkan suasana yang positif dalam kelas.,1
Saya merasa terdorong untuk terus meningkatkan prestasi akademis saya.,1
Sering memberikan tugas yang tidak terkait satu sama lain,0
Pertemuan online sering terputus,0
Tidak memberikan kesempatan kepada siswa untuk berpartisipasi dalam kegiatan ekstrakurikuler,0
Guru ini memberikan materi tambahan yang sangat membantu.,1
Guru ini selalu memberikan inspirasi kepada siswa-siswanya.,1
Tidak memberikan keterlibatan dalam kegiatan ekstrakurikuler,0
Tidak memberikan tugas yang relevan dengan dunia nyata,0
Guru ini memberikan contoh nyata yang memudahkan pemahaman.,1
Tidak memberikan bimbingan karir dengan baik,0
Materi yang diajarkan terlalu sulit untuk dipahami,0
Guru ini membuat saya semakin tertarik untuk menjelajahi ilmu pengetahuan.,1
Guru ini selalu memberikan dukungan kepada siswa-siswa.,1
Saya merasa dihargai sebagai siswa oleh guru ini.,1
Guru ini memiliki keahlian dalam menjelaskan konsep-konsep sulit.,1
Sulit dimengerti saat memberikan tugas,0
Saya merasa guru ini memiliki integritas yang tinggi dalam mengajar.,1
Guru ini membuat saya semakin tertarik dengan mata pelajaran ini.,1
Guru ini mengajarkan bukan hanya teori tapi juga aplikasinya.,1
Pertemuan online sering bermasalah,0
Sering memberikan tugas yang membutuhkan bantuan orang tua,0
Selalu memberikan nilai rendah tanpa alasan jelas,0
Saya merasa guru ini benar-benar fokus pada pembelajaran siswa.,1
Saya merasa guru ini memiliki keahlian dalam mengajar yang luar biasa.,1
Guru ini selalu memberikan penilaian yang adil dan objektif.,1
Guru ini membuat saya semakin tertarik untuk mendalami materi pelajaran.,1
Saya merasa guru ini memberikan perhatian khusus terhadap setiap siswa.,1
Saya merasa guru ini mempersiapkan saya dengan baik untuk ujian.,1
Kurang memotivasi siswa untuk belajar,0
Saya merasa nyaman bertanya kepada guru ini.,1
Saya merasa guru ini selalu menghargai berbagai pendapat siswa.,1
Kurang memotivasi siswa untuk berpartisipasi,0
Saya merasa terdorong untuk mencapai yang terbaik setelah belajar dengan guru ini.,1
Saya merasa terbimbing dengan baik dalam mengembangkan keterampilan sosial.,1
Guru ini memberikan kesempatan kepada siswa untuk berpendapat.,1
Saya merasa guru ini memiliki cara unik dalam mengajarkan materi.,1
Kurang memberikan alternatif dalam pembelajaran,0
Materi yang diajarkan tidak relevan dengan ujian,0
Pertemuan online seringkali terdengar tidak jelas,0
Sering memberikan tugas yang tidak sesuai dengan tingkat kesulitan siswa,0
Guru ini memberikan dorongan kepada setiap siswa untuk mencapai impian mereka.,1
Tidak memberikan bimbingan karir yang memadai,0
Pertemuan online sering kali mengalami masalah teknis,0
Pertemuan online seringkali terganggu oleh gangguan eksternal,0
Saya merasa guru ini memiliki kemampuan dalam mengelola waktu dengan baik.,1
Guru ini memotivasi saya untuk terus belajar dan berkembang.,1
Kurang memberikan dukungan finansial kepada siswa yang berprestasi akademik,0
Saya merasa beruntung memiliki guru sebaik ini.,1
Pertanyaan guru selalu menantang pikiran saya.,1
Kurang memberikan dukungan kepada siswa yang membutuhkan,0
Guru ini memberikan motivasi kepada setiap siswa untuk mencapai prestasi.,1
Tidak memberikan bimbingan belajar yang efektif,0
Kurang memberikan dukungan emosional kepada siswa,0
Materi yang diajarkan tidak mengikuti perkembangan zaman,0
Materi yang diajarkan terlalu sulit untuk diterapkan dalam kehidupan sehari-hari,0
Tidak memberikan waktu tambahan untuk ujian,0
Sering memberikan hukuman yang tidak sesuai,0
Tidak memberikan proyek-proyek yang membangkitkan minat siswa,0
Pertemuan online seringkali terlalu pendek,0
Guru ini membimbing dengan sabar dalam menyelesaikan tugas.,1
Saya merasa guru ini memahami kebutuhan belajar siswa dengan baik.,1
Pertemuan online sering terlalu singkat,0
Guru ini memiliki metode pengajaran yang kreatif dan inovatif.,1
Saya merasa memiliki guru yang mendukung dalam menghadapi ujian.,1
Saya merasa guru ini mempersiapkan saya dengan baik untuk tantangan di masa depan.,1
Saya merasa terdorong untuk terus meningkatkan kemampuan akademis.,1
Kurang memberikan kesempatan untuk diskusi kritis,0
Tidak memberikan dukungan kepada siswa yang kesulitan,0
Pelajaran menjadi lebih menarik dengan kehadiran guru ini.,1
Kurang memberikan penjelasan tambahan saat diperlukan,0
Tidak memberikan umpan balik yang konstruktif terhadap proyek siswa,0
Tidak memberikan penjelasan yang memadai tentang nilai siswa,0
Kurang memberikan umpan balik positif,0
Kurang memahami tingkat pemahaman siswa,0
Materi yang diajarkan tidak memotivasi siswa untuk belajar,0
Tidak memahami kebutuhan siswa dengan baik,0
Guru ini membuat pembelajaran menjadi lebih interaktif.,1
Tidak memberikan proyek-proyek yang menantang,0
Tidak memberikan dukungan finansial kepada siswa yang berprestasi seni,0
Sering terlambat memberikan hasil ujian,0
Tidak memberikan solusi terhadap masalah belajar siswa,0
Guru ini membuat saya semakin tertarik untuk belajar lebih dalam.,1
Penjelasan guru sangat mudah dipahami.,1
Guru ini memberikan pemahaman yang lebih dalam terhadap konsep-konsep pelajaran.,1
Saya merasa terbimbing dengan baik dalam mengembangkan keterampilan.,1
Saya merasa guru ini menghargai keberagaman dalam kelas.,1
Tidak memberikan umpan balik yang membangun,0
Saya merasa terdorong untuk terus berpartisipasi aktif dalam kegiatan sekolah.,1
Guru ini selalu memberikan pujian yang memotivasi.,1
Saya merasa memiliki guru yang menginspirasi untuk mengejar impian.,1
Saya merasa guru ini benar-benar peduli terhadap perkembangan siswa-siswanya.,1
Guru ini memberikan motivasi kepada setiap siswa untuk menghadapi ujian dengan percaya diri.,1
Guru ini memiliki keahlian dalam menjelaskan materi dengan ringkas.,1
Sering memberikan tugas yang membutuhkan akses internet,0
Tidak memberikan contoh nyata dalam pelajaran,0
Guru ini membuat saya semakin menyadari pentingnya pendidikan.,1
Guru ini memiliki keahlian dalam memotivasi siswa-siswa.,1
Pertemuan online tidak dijadwalkan dengan baik,0
Saya merasa guru ini selalu bersedia membantu ketika siswa kesulitan.,1
Saya merasa guru ini memiliki kemampuan dalam memotivasi siswa untuk belajar.,1
Sering memotong diskusi siswa,0
Tidak memberikan kesempatan kepada siswa untuk mengejar minat mereka,0
Guru ini membuat saya semakin menyukai belajar.,1
Saya merasa terbantu dengan adanya sumber daya tambahan dari guru ini.,1
Saya merasa terbantu dengan adanya sumber daya pendukung dari guru ini.,1
Sering memberikan tugas yang membutuhkan pengetahuan teknologi tinggi,0
Saya merasa memiliki guru yang mendukung dalam mengembangkan potensi.,1
Tidak memberikan waktu tambahan untuk ujian siswa dengan kebutuhan khusus,0
Guru ini selalu memberikan alternatif pemecahan masalah.,1
Kurang memberikan kesempatan kepada siswa untuk berdiskusi,0
Saya merasa siap menghadapi ujian setelah belajar dengan guru ini.,1
Tidak memberikan bimbingan karir yang personal,0
Guru ini memberikan tugas-tugas yang sesuai dengan tingkat kesulitan siswa.,1
Sering memotong pembicaraan siswa,0
Tidak memberikan sumber referensi yang memadai,0
Guru ini selalu bersedia membantu ketika saya kesulitan.,1
Guru ini terlalu otoriter,0
Saya merasa guru ini memahami gaya belajar saya dengan baik.,1
Guru ini memberikan penilaian yang adil kepada setiap siswa.,1
Guru ini membuat saya semakin menyukai mata pelajaran ini.,1
Materi yang diajarkan tidak relevan dengan kehidupan sehari-hari siswa,0
Guru ini tidak jelas dalam menjelaskan materi,0
Guru ini selalu memberikan dukungan positif kepada setiap siswa.,1
Sering terlalu kritis terhadap pekerjaan siswa,0
Metode pengajaran guru ini membuat saya semakin tertarik.,1
Sering memotong pertanyaan siswa,0
Saya merasa guru ini benar-benar memahami kebutuhan siswa.,1
Tidak memberikan bimbingan dalam pemilihan jurusan,0
Tidak memberikan bimbingan belajar dengan baik,0
Saya merasa guru ini mengenal setiap siswa dengan baik.,1
Guru ini membuat suasana kelas menjadi lebih menyenangkan.,1
Tidak memberikan waktu istirahat yang cukup,0
Guru ini membuat saya semakin tertarik untuk mengeksplorasi ilmu pengetahuan.,1
Materi yang diajarkan terlalu teoritis,0
Saya merasa terdorong untuk aktif berpartisipasi dalam pembelajaran.,1
Tidak memberikan alternatif penilaian untuk siswa dengan kebutuhan khusus,0
Tidak memberikan proyek-proyek yang mengembangkan kreativitas siswa,0
Kurang memberikan dukungan emosional kepada siswa yang mengalami stres,0
Tidak sabar dalam membantu siswa yang kesulitan,0
Tidak memberikan alternatif tugas untuk siswa yang kesulitan,0
Saya merasa guru ini peduli terhadap perkembangan siswa-siswanya.,1
Guru ini memberikan pengetahuan yang lebih dari buku teks.,1
Pertemuan online sering kali tanpa persiapan yang memadai,0
Tidak memberikan alternatif penilaian yang sesuai dengan gaya belajar siswa,0
Sering terlambat masuk kelas,0
Saya merasa guru ini memberikan perhatian penuh terhadap setiap siswa.,1
Sering terlihat tidak bersedia membantu,0
Sering tidak memberikan tanggapan terhadap tugas siswa,0
Kurang memberikan dukungan emosional kepada siswa yang membutuhkan,0
Tidak memberikan pujian atau penghargaan kepada siswa,0
Saya merasa guru ini memiliki kemampuan dalam membuat materi menjadi menarik.,1
Pertemuan online seringkali terlalu formal,0
Tidak memberikan proyek-proyek yang mendorong kolaborasi siswa,0
Guru ini membuat saya semakin percaya diri dalam menghadapi pelajaran.,1
Saya merasa terbimbing dengan baik dalam setiap pembelajaran.,1
Guru ini membuat saya semakin mencintai dunia ilmu pengetahuan.,1
Saya merasa lebih percaya diri setelah belajar dengan guru ini.,1
Pertanyaan-pertanyaan guru selalu menantang dan memotivasi saya.,1
Guru ini selalu memberikan feedback yang konstruktif.,1
Guru ini memberikan wawasan baru yang mendalam setiap kali pelajaran berlangsung.,1
Guru ini sangat membantu dalam menjelaskan materi pelajaran.,1
Tidak memberikan proyek-proyek yang menciptakan minat siswa,0
Saya senang belajar dengan guru ini.,1
Guru ini memberikan pemahaman yang mendalam terhadap konsep-konsep pelajaran.,1
Guru ini memberikan pandangan yang luas terhadap konsep-konsep pelajaran.,1
Kurang memberikan penjelasan tambahan saat siswa kesulitan,0
Guru ini selalu menghadirkan suasana positif di dalam kelas.,1
Pemberian tugas terlalu banyak dan sulit,0
Saya merasa semakin paham setelah mengikuti pelajaran guru ini.,1
Pemberian tugas sering terlambat,0
Sering memberikan tugas yang membutuhkan sumber daya yang sulit diakses,0
Tidak memberikan umpan balik yang konstruktif,0
Guru ini membuat saya semakin tertarik dalam eksplorasi ilmu pengetahuan.,1
Materi yang diajarkan tidak memberikan perspektif global,0
Tidak memberikan solusi terhadap konflik dalam kelas,0
Tidak memberikan proyek-proyek yang mengembangkan keterampilan siswa,0
Sering memberikan tugas yang terlalu rumit,0
Guru ini membuat saya menyadari pentingnya pembelajaran sepanjang hayat.,1
Saya merasa guru ini memberikan ruang bagi siswa untuk berekspresi.,1
Sering mengabaikan masukan siswa,0
Pertemuan pembelajaran selalu menyenangkan.,1
Tidak menyediakan sumber belajar tambahan,0
Penjelasan guru selalu disertai dengan contoh yang relevan.,1
Tidak memberikan klarifikasi saat siswa bingung,0
Guru ini memberikan tugas-tugas yang relevan dan bermanfaat.,1
Saya merasa terbantu dengan adanya tutoran dan petunjuk guru.,1
Guru ini memberikan wawasan baru dalam setiap pelajaran.,1
Tidak memberikan alternatif evaluasi yang bervariasi,0
Pembagian waktu tidak efisien,0
Sering terlalu fokus pada buku teks,0
Penjelasan guru sangat jelas dan mendalam.,1
Kurang memberikan dukungan emosional kepada siswa yang mengalami tekanan,0
Pembagian kelompok tidak adil,0
Saya merasa guru ini memiliki kesabaran dalam membantu siswa yang kesulitan.,1
Kurang memberikan dukungan finansial kepada siswa yang membutuhkan,0
Sering memberikan tugas yang tidak relevan dengan dunia nyata,0
Guru ini selalu memberikan motivasi kepada setiap siswa untuk mencapai yang terbaik.,1
Pertemuan online seringkali terganggu oleh gangguan visual,0
Tidak memberikan kesempatan kepada siswa untuk berkolaborasi,0
Guru ini memberikan dorongan positif kepada setiap siswa.,1
Tidak memberikan umpan balik secara individu,0
Saya merasa guru ini memiliki keterampilan dalam mengajar yang luar biasa.,1
Sering mengabaikan pertanyaan siswa,0
Sering kali tidak menjelaskan konsep dasar dengan baik,0
Saya merasa guru ini memiliki kemampuan dalam mengelola kelas dengan baik.,1
Saya merasa terbimbing dengan baik dalam mengembangkan potensi diri.,1
Guru ini membuat saya semakin menyukai bidang studi ini.,1
Tidak memberikan dukungan finansial kepada siswa yang berprestasi,0
Materi yang diajarkan terlalu monotone,0
Saya merasa guru ini memiliki kemampuan dalam memahami perbedaan individu siswa.,1
Guru ini membuat belajar menjadi pengalaman yang menyenangkan.,1
Saya merasa terdorong untuk terus berkembang akademis setelah belajar dengan guru ini.,1
Saya merasa guru ini memiliki cara unik dalam menjelaskan konsep-konsep sulit.,1
Guru ini selalu memberikan feedback yang membantu dalam meningkatkan kualitas belajar.,1
Tidak memberikan kesempatan kepada siswa untuk menyampaikan pendapat,0
Saya merasa guru ini memiliki kemampuan mengelola kelas dengan baik.,1
Tidak memberikan bimbingan karir yang relevan,0
Pertemuan online seringkali mengalami gangguan suara,0
Kurang memberikan contoh praktis dalam pelajaran,0
Saya merasa terdorong untuk terus meningkatkan potensi diri setelah belajar dengan guru ini.,1
Guru ini memberikan penghargaan kepada siswa yang berprestasi.,1
Guru ini memberikan tantangan yang sesuai dengan kemampuan siswa.,1
Saya merasa terbantu dengan metode pengajaran guru tersebut.,1
Sering memberikan tugas yang tidak sesuai dengan tingkat kesulitan kelas,0
Kurang bersedia membantu siswa yang membutuhkan tambahan waktu,0
Sering terlihat kurang bersemangat dalam mengajar,0
Tidak memberikan kesempatan kepada siswa untuk berinovasi,0
Saya merasa terdorong untuk terus meningkatkan prestasi akademis.,1
Saya merasa guru ini berusaha membuat setiap siswa berhasil.,1
Saya merasa guru ini memahami gaya belajar setiap siswa dengan baik.,1
Sering menggunakan bahasa yang sulit dipahami,0
Materi yang diajarkan terlalu banyak teori tanpa aplikasi praktis,0
Guru ini selalu memberikan pertanyaan yang merangsang berpikir.,1
